ImageFrom,ImageFromCoordinateX,ImageFromCoordinateY,cluster
bi_native,694,451,9
bi_autologous,693,488,9
bi_expander,366,854,3
bi_implant,677,590,10
bi_implant_ld,438,420,7
uni_autologous_sym,695,505,9
uni_expander_sym,530,722,4
uni_implant_sym,675,566,10
uni_ld_sym,556,442,6
uni_implant_ld_sym,493,496,6
uni_autologous,676,312,8
uni_expander,466,783,4
uni_implant,501,753,4
uni_ld,539,555,6
uni_implant_ld,527,472,6
uni_rearrange_sym,695,469,9
uni_rearrange,684,398,8
bi_nobreast,1063,879,1
uni_nobreast,1042,853,1
bi_mixed_expander_ld,360,309,7
uni_partialmast_norearrange,956,406,5
uni_partialmast_norearrange_sym,965,434,5
bi_mixed_expander_nobreast,992,827,1
uni_expander_ld,418,617,2
bi_mixed_implant_autologous,675,536,10
bi_mixed_expander_autologous,642,639,10
uni_implant_autologous,667,282,8
bi_mixed_expander_implant,413,818,3
bi_implant_autologous,681,345,8
bi_expander_ld,380,643,2
uni_expander_ld_sym,453,583,2
bi_partialmast_norearrange,933,376,5
bi_native_cosmetic,693,436,9
